city,latitude,longitude,additional_info,address,area,guest_recommendation,hotel_description,hotel_facilities,hotel_star_rating,property_name,property_id,property_type,province,review_count_by_category,room_area,room_facilities,room_type,site_review_count,site_review_rating,site_stay_review_rating,state,uniq_id
Hyderabad,17.4982784,78.3907814,Room Service|Internet Access|Restaurant,"Plot no. 2, Sai Nagar Housing Sciety, Nizampet X Road, Kukatpally, RR Dist,Hyderabad- 500072",Kukatpally,50,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid Photo ID (Driver's License, Voters Card, Passport) required at the time of check-in. Hotel reserves right to admission. This may include cases such as denial of admission to local residents, and to unmarried, unrelated couples, among others.",Banquet Facilities|Business Center |Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|24 Hour Front Desk|Power Backup|Multi Lingual Staff|Wake-up Call / Service|Conference Facility |Smoking Rooms|Smoking Area |Veg / Non Veg Kitchens Separate |Board Room|Food Facility|Newspapers In Lobby|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Fire Exit Signs|Public Restrooms|Security at All Hotel Entrances,3,Treebo Blue Petal,HTLGBO1000089302,Hotel,Hyderabad,positive reviews::6|critical reviews::4|reviews with images::3,28 X 10 Sq.ft.,Room Service |Air Conditioning |Ceiling Fan|Tea Coffee Kettle / Maker|Internet Connection In Room|Refrigerator|Telephone|Shower Facility Available|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Moisturiser|Coffee Table|HD / LCD Satellite TV |TV|Mirror|Attached Bathroom|Bedside Table|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Modern Toilet Facilities|Rooms with Attached Bathrooms|Western Toilet Seat,Premium Room,10,3,Service Quality::2.5|Amenities::2.9|Food and Drinks::3.5|Value for Money::2.4|Location::2.7|Cleanliness::3.0,Andhra Pradesh,4be36e40c8c77017c22173d05c569b33
Araku Valley,18.33904383,82.87678511,Room Service,"Ushodaya Resorts,Near Padmapuram Gardens,Araku Valley",Visakha-Araku Main Road,57,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Terms and Conditions: It is mandatory for guests to present valid photo identification at the time of check-in. and should carry hotel Booking Voucher at the time of check in.,Banquet Facilities|Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup,0,Ushodaya Resort,HTLGBO1000017472,Lodge,Araku Valley,positive reviews::30|critical reviews::31|reviews with images::4,,Room Service |Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|TV|Attached Bathroom,Classic Room,61,2.9,Service Quality::2.8|Amenities::2.9|Food and Drinks::2.9|Value for Money::3.0|Location::3.0|Cleanliness::2.9,Andhra Pradesh,ce66ecdfd2fb8adc5da00c34833afaa9
Hyderabad,17.4581398,78.3699885,Room Service|Gym/Spa,"2-91/14/8, White Field Rd, White Fields, Hitech City",Hi-Tech City,90,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid Photo ID (Driver's License, Voters Card, Passport) required at the time of check-in. Hotel reserves right to admission. This may include cases such as denial of admission to local residents, and to unmarried, unrelated couples, among others.",Airport Transfer Available / Surcharge|Business Center |Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Air-Conditioning - Central|Power Backup|Separate Sitting Area|Fax Machine|Taxi Services|Food Facility|Newspapers In Lobby|Room Service (24 Hours)|STD / ISD|RO Water Purification System|Parking Facility|Room Service,3,Treebo Tara Residency,HTLGBO1000007293,Hotel,Hyderabad,positive reviews::62|critical reviews::11|reviews with images::9,15 X 15 Sq.ft.,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Microwave Oven Available |Internet Connection In Room|Refrigerator|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Makeup / Shaving Mirror|Wardrobe|TV|Mirror|Luggage Rack|Attached Bathroom",Standard Double Room,73,4,Service Quality::4.1|Amenities::4.0|Food and Drinks::4.3|Value for Money::4.1|Location::4.1|Cleanliness::4.2,Andhra Pradesh,e571734584cdeae3f6b7bb4e06cb1d18
Hyderabad,17.40130749,78.47693458,Room Service|Internet Access|Restaurant|Free Internet,"#3-6-324, Lane Opposite United India Insurance Co Ltd, Hyderguda, Basheerbagh",Abids,83,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid Photo ID (Driver's License, Voters Card, Passport) required at the time of check-in. Hotel reserves right to admission. This may include cases such as denial of admission to local residents, and to unmarried, unrelated couples, among others.",Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Multi Cuisine Restaurant |24 Hour Front Desk|Internet Access Free|Newspapers In Lobby|Internet Access|Room Service,3,Treebo JP Plaza,HTLGBO1000021700,Hotel,Hyderabad,positive reviews::96|critical reviews::12|reviews with images::20,15 X 18 Sq.ft.,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Makeup / Shaving Mirror|Premium Amenities / Toiletries|Safe - In - Room |Coffee Table|Wardrobe|HD / LCD Satellite TV |TV|Mirror|Mini Refrigerator,Standard Room,108,4.2,Service Quality::4.0|Amenities::4.0|Food and Drinks::4.0|Value for Money::4.2|Location::4.3|Cleanliness::4.5,Andhra Pradesh,46d758e8546aca5df8bffa5be8da797f
Tirupati,13.6278907,79.4193979,Room Service,PK Layout,Main Town,,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check-in time is 14:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly. According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.   *   Local ID proof will not be valid.",Doctor on Call|Lobby|Front Desk|Room Service,1,Vaishnavi Residency,HTLGBO1000040636,Hotel,Tirupati,,10 X 10 Sq.ft.,Room Service |Ceiling Fan|Telephone|Housekeeping|Desk in Room,Deluxe Non A/C,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,e679ed02f0fd2c3d9a4a1ccd7632d320
Hyderabad,17.4439459,78.3867051,,"Beside Indian Oil Petrol Bunk, Madhapur",Hi-Tech City,,"The standard check-in time is 06:00 AM and the standard check-out time is 06:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly. According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.",Lobby|Parking Facilities Available|Front Desk|Power Backup,1,V G Guest Houses,HTLGBO1000054194,Guest House,Hyderabad,,10 X 12 Sq.ft.,Room Service |Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|TV|Mirror,Non AC Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,4068d671a72180809a441105b5a31593
Hyderabad,17.4501795,78.3810356,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,"HITEC City,Near Cyber Towers, Madhapur",Hi-Tech City,88,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Effective 2nd Oct 2008, the Government has introduced No-Smoking legislation for hotels, restaurants and all public places. As a consequence, smoking is prohibited in all parts of the hotel except in designated bedrooms where smoking is permitted.",Swimming Pool|Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Banquet Facilities|Bar / Lounge |Beauty Salon - on charge|Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Gift Shop |Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Secretarial Services|Spa On Site - Chargeable|Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Air-Conditioning - Central|Power Backup|Express Check-In / Check-Out|Audio - Visual Equipment|Computer Rental|Wedding Services Facility|Exhibit Space|Wake-up Call / Service|Porter / Bellhop|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Disabled Friendly Rooms|Fax Machine|Electronic / Magnetic Keys|Limousine Service Available|Multi - Line Phone|Wheelchair Accessibility - Room|Poolside Bar|Smoking Area |Car Rental|Express Laundry|Taxi Services|Board Room|Food Facility|Newspapers In Lobby|Postal / Parcel Services|Room Service (24 Hours)|Air / Rail Booking|Baggage Room|Courier Service|Guide / Sightseeing Service|Adjoining Rooms|Parking Facility,5,Trident Hyderabad,HTLGBO1000010812,Hotel,Hyderabad,positive reviews::8|critical reviews::1|reviews with images::1,,"Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Hairdryer (on request)|Iron / Ironing board available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Telephone|Breakfast Available (surcharge)|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Makeup / Shaving Mirror|Slippers|Primium Bathrooms|Premium Amenities / Toiletries|Shaving Kit /Dental Kit|Moisturiser|Blackout Drapes|Safe - In - Room |Clock Radio|Fruit Basket|Patio - Property|Cribs Available|Coffee Table|Wardrobe|International Switch Plugs (on request)|TV|Bathrobes|Studio Apartment - Large|Mirror|Mini Refrigerator|Work Station|Movies &amp; Games on demand|Luggage Rack|Attached Bathroom",Deluxe Room,9,4.1,Service Quality::4.1|Amenities::4.2|Food and Drinks::4.4|Value for Money::4.5|Location::4.3|Cleanliness::4.4,Andhra Pradesh,af8aedbc221175c6506facd66c30989b
Visakhapatnam,17.71532827,83.30120768,Room Service|Internet Access|Free Internet,"30-12-34,Ranga street, Beside Nellore Mess, Dabagardens,",Daba Garden,84,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 24 Hour Check-in and Check-out and Should inform Exact Check in Time.,Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Power Backup|Electronic / Magnetic Keys|Car Rental|Taxi Services|Internet Access Free|Newspapers In Lobby|Electronic Check-Out|Room Service (24 Hours)|STD / ISD|Internet / Fax (Reception area only)|Parking Facility,2,Vaibhav Inn,HTLGBO1000010365,Hotel,Visakhapatnam,positive reviews::245|critical reviews::29|reviews with images::43,15 X 12 Sq.ft.,"Room Service |Air Conditioning |Ceiling Fan|Crockery / Cutlery|Iron / Ironing board available|Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Premium Amenities / Toiletries|Wardrobe|HD / LCD Satellite TV |Split A.C's|International Switch Plugs (on request)|TV|Mirror|Luxurious Feather Mattresses",Super Deluxe Room,274,4.3,Service Quality::4.3|Amenities::4.2|Food and Drinks::4.2|Value for Money::4.3|Location::4.4|Cleanliness::4.5,Andhra Pradesh,c6791d04c1ab7a5da68d97ebef71fb7b
Hyderabad,17.403749,78.4491815,Room Service|Swimming Pool|Restaurant|Free Internet,"10-1-18/3,Beside Golconda Hotel, Masab Tank , Hyderabad, Telangana",MASAB TANK,60,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid Photo ID (Driver's License, Voters Card, Passport) required at the time of check-in. Hotel reserves right to admission. This may include cases such as denial of admission to local residents, and to unmarried, unrelated couples, among others.",Swimming Pool|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Internet Access Free|Newspapers In Lobby|Room Service,3,Treebo Angel Park,HTLGBO1000038146,Hotel,Hyderabad,positive reviews::5|critical reviews::5|reviews with images::1,17 X 10 Sq.ft.,Air Conditioning |Cable / Satellite / Pay TV available|Toiletries|Coffee Table,Standard Room,10,3.4,Service Quality::3.2|Amenities::3.2|Food and Drinks::3.9|Value for Money::3.5|Location::3.9|Cleanliness::3.9,Andhra Pradesh,8482b448f643c378f34aeed5281d7956
Hyderabad,15.9128998,79.7399875,Room Service|Free Internet,FLAT NO.305 ANAND NILIYAM APARTMENT ANNA DORAI CHOUDARY STREET AMEERPET,Ameerpet,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Airport Transfer Available / Surcharge|Banquet Facilities|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Power Backup|Computer Rental|Wedding Services Facility|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Grocery|Smoking Rooms|ATM / Banking|Kitchen available (home cook food on request)|Limousine Service Available|Floor Butler|Cell Phone Rental|Smoking Area |In House Events |Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Oxygen Cylinder (on request)|Self Check - In|Taxi Services|City Shuttle Service|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Air / Rail Booking|Baggage Room|Courier Service|Guide / Sightseeing Service|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility|Room Service,0,TREATS TOURISM INDIA PVT LTD,HTLGBO1000056450,Service Apartment,Hyderabad,,,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone| Hot / Cold Running Water|Housekeeping|HD / LCD Satellite TV,STANDARD,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,50fc8914379a823564b306ee65d2b6ab
Rajahmundry,16.9997298,81.7718537,Room Service|Free Internet,"D No - 8 - 24 - 27, Main Road",Main Road,63,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Terms and Conditions: It is mandatory for guests to present valid photo identification at the time of check-in.  Unmarried Couples not allowed,Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Taxi Services|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,0,Hotel Rathna Palace,HTLGBO1000008589,Hotel,Rajahmundry,positive reviews::86|critical reviews::54|reviews with images::8,,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|TV|Attached Bathroom,Double Deluxe A/C Room,140,3.1,Service Quality::3.1|Amenities::3.0|Food and Drinks::3.3|Value for Money::3.2|Location::3.4|Cleanliness::3.3,Andhra Pradesh,bbcd653ef0c37fae470f8baba2dfb54a
Puttaparthi,14.1532161,77.781803,Room Service|Internet Access,puttaparthi main road,Main Road,,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly. According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.   *   Local ID proof will not be valid.",Business Center |Doctor on Call|Lift / Elevator|Lobby|Non Smoking Rooms|Front Desk|Major Credit Cards Accepted|Power Backup|Parking Facility|Internet Access|Room Service,1,Hotel Sai Ranga Residency,HTLGBO1000059794,Hotel,Puttaparthi,,10 X 12 Sq.ft.,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|TV|Mirror,Standard Non AC,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,b3874e8aa634c8541c6c0e51cbd581e7
Visakhapatnam,17.72621702,83.30331322,Room Service|Restaurant|Free Internet,"47-11-9,Vamsee Complex,Diamond Park,sai ram parlour building Dwarakanagar.",Dwaraka Nagar,81,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Terms and Conditions: It is mandatory for guests to present valid photo identification at the time of check-in. and should carry hotel Booking Voucher at the time of check in.,Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Conference Facility |Fax Machine|Board Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility,2,Hotel Sai Ratna Residency,HTLGBO1000007714,Hotel,Visakhapatnam,positive reviews::105|critical reviews::26|reviews with images::13,,Luxurious Feather Mattresses,Standard Room,131,3.9,Service Quality::3.9|Amenities::3.8|Food and Drinks::3.7|Value for Money::3.9|Location::4.1|Cleanliness::3.9,Andhra Pradesh,4b9e3fd13c349e966a4ae8ced644a12d
Hyderabad,17.43612247,78.50378856,,"9-3-327 to 329, Near Vidya Niketan High School, Regimental Bazar, Station Road, secunderabad",Secunderabad,50,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. Guest has to submit identity proof at time of check-in. 2. Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates,extra supplement will be charged over and above the paid rates as per actual and hotel discretion",Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Room Service,1,Hotel Rest Inn,HTLGBO1000037024,Lodge,Hyderabad,positive reviews::0|critical reviews::2|reviews with images::0,12 X 14 Sq.ft.,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Tea Coffee Kettle / Maker|Telephone| Hot / Cold Running Water|TV|Attached Bathroom,Deluxe Non A/C Room,2,1,Service Quality::1.0|Amenities::1.0|Food and Drinks::1.0|Value for Money::1.0|Location::1.0|Cleanliness::1.0,Andhra Pradesh,1a65320707f3906b3ddf708554507e06
Hyderabad,17.4424225,78.4866683,,"Opp. Reservation Complex, Secunderabad",Secunderabad,41,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Terms and Conditions: It is mandatory for guests to present valid photo identification at the time of check-in.  Unmarried couple will not be allowed to check in.,Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Welcome Drinks|Parking Facility,2,Hotel Sai Priya,HTLGBO1000010750,Hotel,Hyderabad,positive reviews::23|critical reviews::39|reviews with images::7,10 X 10 Sq.ft.,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Housekeeping|Desk in Room|Coffee Table|TV,Standard Non Ac Room,62,2.4,Service Quality::2.2|Amenities::2.2|Food and Drinks::2.2|Value for Money::2.5|Location::2.8|Cleanliness::2.3,Andhra Pradesh,75fa55412b64440a4b0c162e8becb67d
Hyderabad,17.3907144,78.480384,,"#4-7-1121/1, Rang Mahal X Road,putli bowli, koti",Hyderabad City Centre,40,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.   *   Local ID proof will not be valid.",,0,Hotel Ritz Park,HTLGBO1000021090,Hotel,Hyderabad,positive reviews::2|critical reviews::3|reviews with images::1,,Room Service,Standard Non A/C Room,5,2.4,Service Quality::2.2|Amenities::2.2|Food and Drinks::2.4|Value for Money::2.4|Location::2.8|Cleanliness::2.4,Andhra Pradesh,18e312b34c4be3bc6505fd0b85ded051
Vijayawada,16.5061743,80.6480153,Room Service,"26-46-5, Anjaneya Swamy Temple Street,Governorpet,Near Leela mahal ,old Bus Stand",Governorpet,40,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly. According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.   *   Local ID proof will not be valid.",Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Squash court|Room Service,0,Hotel Samrat,HTLGBO1000033804,Hotel,Vijayawada,positive reviews::2|critical reviews::3|reviews with images::0,10 X 10 Sq.ft.,Room Service |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan,Standard Non AC Room,5,2.6,Service Quality::2.2|Amenities::2.2|Food and Drinks::1.5|Value for Money::2.6|Location::3.0|Cleanliness::1.5,Andhra Pradesh,34c438fd39fa8eac23bfd035cc04a650
Puttaparthi,14.1669963,77.8091496,Room Service,"Near HDFC Bank , Gopuram Street,",Main Road,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances. Customer Government approved Photo ID card is must to carry at the time of check in.,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Air-Conditioning - Central|Power Backup|Parking Facility|Room Service,1,Hotel Sai Gokul,HTLGBO1000084664,Hotel,Puttaparthi,,,Room Service |Alarm Clock|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Breakfast Available (surcharge)|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|TV|Mirror|Dressing Area|Luggage Rack|Attached Bathroom|Closet|Daily Room Cleaning|Dustbins,Standard Non/Ac,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,a5430e7e381de792b1608c74d46d1426
